time	n.risk	n.event	n.censor	estimate	std.error	conf.high	conf.low	strata
32	188	1	0	0.9946808510638298	0.005333352296397433	1	0.9843374296579758	clusterID=1
35	187	1	0	0.9893617021276595	0.007562747506779042	1	0.974804830513352	clusterID=1
72	186	1	0	0.9840425531914893	0.009287436095887424	1	0.9662920338252883	clusterID=1
90	185	1	0	0.9787234042553191	0.010753309840483507	0.9995699872629744	0.9583115882260972	clusterID=1
103	184	1	0	0.9734042553191489	0.012055369681047824	0.9966778111288891	0.950674163399124	clusterID=1
104	183	1	0	0.9680851063829786	0.013242226336053984	0.9935399672532488	0.943282408448555	clusterID=1
112	182	1	0	0.9627659574468084	0.01434269647879456	0.990214430319767	0.9360783487260863	clusterID=1
128	181	1	0	0.9574468085106381	0.015375520133814751	0.9867390650996581	0.9290241194966997	clusterID=1
136	180	1	0	0.9521276595744679	0.01635369201742337	0.9831402341794548	0.9220933582108691	clusterID=1
150	179	1	0	0.9468085106382976	0.017286659362632066	0.9794371757324003	0.9152668267331895	clusterID=1
166	178	1	0	0.9414893617021274	0.018181544982593778	0.9756444451858933	0.9085299696749563	clusterID=1
180	177	1	0	0.9361702127659572	0.01904387685446346	0.971773374968223	0.9018714546474546	clusterID=1
185	176	0	1	0.9361702127659572	0.01904387685446346	0.971773374968223	0.9018714546474546	clusterID=1
222	175	1	0	0.930820668693009	0.01988743241707848	0.9678191949593069	0.8952365501518393	clusterID=1
231	174	1	0	0.9254711246200605	0.02070580479410311	0.9638016955432507	0.8886649675613527	clusterID=1
280	173	1	0	0.9201215805471121	0.02150202361951888	0.9597271314342575	0.8821504522053939	clusterID=1
291	172	1	0	0.9147720364741638	0.02227861637841371	0.9556007301215907	0.8756877766393223	clusterID=1
315	171	0	1	0.9147720364741638	0.02227861637841371	0.9556007301215907	0.8756877766393223	clusterID=1
316	170	1	0	0.909391024494904	0.02304655223398204	0.9514104654485611	0.8692273897176331	clusterID=1
358	169	1	0	0.9040100125156443	0.023798419252988326	0.9471755782950129	0.8628116280189763	clusterID=1
361	168	1	0	0.8986290005363845	0.02453584640186398	0.9428994455204699	0.8564371147331321	clusterID=1
367	167	1	0	0.8932479885571247	0.025260249248616327	0.9385850017454039	0.8501009152901227	clusterID=1
371	166	0	1	0.8932479885571247	0.025260249248616327	0.9385850017454039	0.8501009152901227	clusterID=1
374	165	1	0	0.8878343643840512	0.025981437741316726	0.9342161927886159	0.8437552941876577	clusterID=1
385	164	1	0	0.8824207402109777	0.026691636455068384	0.9298131185159962	0.8374439414204651	clusterID=1
391	163	1	0	0.8770071160379043	0.02739185349093779	0.9253778612235247	0.8311647747485243	clusterID=1
404	162	1	0	0.8715934918648307	0.028082988724844864	0.9209122755971028	0.8249159395432851	clusterID=1
451	161	0	1	0.8715934918648307	0.028082988724844864	0.9209122755971028	0.8249159395432851	clusterID=1
463	160	1	0	0.8661460325406756	0.028774336340224995	0.916397466590589	0.8186501785923394	clusterID=1
471	159	1	0	0.8606985732165203	0.029457905216942984	0.9118548185702124	0.8124122599895132	clusterID=1
483	158	1	0	0.8552511138923651	0.03013438247769681	0.9072857323217461	0.8062007830127976	clusterID=1
490	157	1	0	0.8498036545682099	0.030804393614810438	0.9026914766763146	0.8000144788964686	clusterID=1
