sample	cluster_assigned	method
1	1	mclust
2	1	mclust
3	1	mclust
4	1	mclust
5	1	mclust
6	1	mclust
7	1	mclust
8	1	mclust
9	1	mclust
10	1	mclust
11	1	mclust
12	1	mclust
13	1	mclust
14	1	mclust
15	1	mclust
16	1	mclust
17	1	mclust
18	1	mclust
19	1	mclust
20	1	mclust
21	1	mclust
22	1	mclust
23	1	mclust
24	1	mclust
25	1	mclust
26	1	mclust
27	1	mclust
28	1	mclust
29	1	mclust
30	1	mclust
31	1	mclust
32	1	mclust
33	1	mclust
34	1	mclust
35	1	mclust
36	1	mclust
37	1	mclust
38	1	mclust
39	1	mclust
40	1	mclust
41	1	mclust
42	1	mclust
43	1	mclust
44	1	mclust
45	1	mclust
46	1	mclust
47	1	mclust
48	1	mclust
49	1	mclust
50	1	mclust
51	1	mclust
52	1	mclust
53	1	mclust
54	1	mclust
55	1	mclust
56	1	mclust
57	1	mclust
58	1	mclust
59	1	mclust
60	1	mclust
61	1	mclust
62	1	mclust
63	1	mclust
64	1	mclust
65	1	mclust
66	1	mclust
67	1	mclust
68	1	mclust
69	1	mclust
70	1	mclust
71	1	mclust
72	1	mclust
73	1	mclust
74	1	mclust
75	1	mclust
76	1	mclust
77	1	mclust
78	1	mclust
79	1	mclust
80	1	mclust
81	1	mclust
82	1	mclust
83	1	mclust
84	1	mclust
85	1	mclust
86	1	mclust
87	1	mclust
88	1	mclust
89	1	mclust
90	1	mclust
91	1	mclust
92	1	mclust
93	1	mclust
94	1	mclust
95	1	mclust
96	1	mclust
97	1	mclust
98	1	mclust
99	1	mclust
100	1	mclust
101	1	mclust
102	1	mclust
103	1	mclust
104	1	mclust
105	1	mclust
106	1	mclust
107	1	mclust
108	1	mclust
109	1	mclust
110	1	mclust
111	1	mclust
112	1	mclust
113	1	mclust
114	1	mclust
115	1	mclust
116	1	mclust
117	1	mclust
118	1	mclust
119	1	mclust
120	1	mclust
121	1	mclust
122	1	mclust
123	1	mclust
124	1	mclust
125	1	mclust
126	1	mclust
127	1	mclust
128	1	mclust
129	1	mclust
130	1	mclust
131	1	mclust
132	1	mclust
133	1	mclust
134	1	mclust
135	1	mclust
136	1	mclust
137	1	mclust
138	1	mclust
139	1	mclust
140	1	mclust
141	1	mclust
142	1	mclust
143	1	mclust
144	1	mclust
145	1	mclust
146	1	mclust
147	1	mclust
148	1	mclust
149	1	mclust
150	1	mclust
151	1	mclust
152	1	mclust
153	1	mclust
154	1	mclust
155	1	mclust
156	1	mclust
157	1	mclust
158	1	mclust
159	1	mclust
160	1	mclust
161	1	mclust
162	1	mclust
163	1	mclust
164	1	mclust
165	1	mclust
166	1	mclust
167	1	mclust
168	1	mclust
169	1	mclust
170	1	mclust
171	1	mclust
172	1	mclust
173	1	mclust
174	1	mclust
175	1	mclust
176	1	mclust
177	1	mclust
178	1	mclust
179	1	mclust
180	1	mclust
181	1	mclust
182	1	mclust
183	1	mclust
184	1	mclust
185	1	mclust
186	1	mclust
187	1	mclust
188	1	mclust
189	1	mclust
190	1	mclust
191	1	mclust
192	1	mclust
193	1	mclust
194	1	mclust
195	1	mclust
196	1	mclust
197	1	mclust
198	1	mclust
199	1	mclust
200	1	mclust
201	1	mclust
202	1	mclust
203	1	mclust
204	1	mclust
205	1	mclust
206	1	mclust
207	1	mclust
208	1	mclust
209	1	mclust
210	1	mclust
211	1	mclust
212	1	mclust
213	1	mclust
214	1	mclust
215	1	mclust
216	1	mclust
217	1	mclust
218	1	mclust
219	1	mclust
220	1	mclust
221	1	mclust
222	1	mclust
223	1	mclust
224	1	mclust
225	1	mclust
226	1	mclust
227	1	mclust
228	1	mclust
229	1	mclust
230	1	mclust
231	1	mclust
232	1	mclust
233	1	mclust
234	1	mclust
235	1	mclust
236	1	mclust
237	1	mclust
238	1	mclust
239	1	mclust
240	1	mclust
241	1	mclust
242	1	mclust
243	1	mclust
244	1	mclust
245	1	mclust
246	1	mclust
247	1	mclust
248	1	mclust
249	1	mclust
250	1	mclust
251	1	mclust
252	1	mclust
253	1	mclust
254	1	mclust
255	1	mclust
256	1	mclust
257	1	mclust
258	1	mclust
259	1	mclust
260	1	mclust
261	1	mclust
262	1	mclust
263	1	mclust
264	1	mclust
265	1	mclust
266	1	mclust
267	1	mclust
268	1	mclust
269	1	mclust
270	1	mclust
271	1	mclust
272	1	mclust
273	1	mclust
274	1	mclust
275	1	mclust
276	1	mclust
277	1	mclust
278	1	mclust
279	1	mclust
280	1	mclust
281	1	mclust
282	1	mclust
283	1	mclust
284	1	mclust
285	1	mclust
286	1	mclust
287	1	mclust
288	1	mclust
289	1	mclust
290	1	mclust
291	1	mclust
292	1	mclust
293	1	mclust
294	1	mclust
295	1	mclust
296	1	mclust
297	1	mclust
298	1	mclust
299	1	mclust
300	1	mclust
301	1	mclust
302	1	mclust
303	1	mclust
304	1	mclust
305	1	mclust
306	1	mclust
307	1	mclust
308	1	mclust
309	1	mclust
310	1	mclust
311	1	mclust
312	1	mclust
313	1	mclust
314	1	mclust
315	1	mclust
316	1	mclust
317	1	mclust
318	1	mclust
319	1	mclust
320	1	mclust
321	1	mclust
322	1	mclust
323	1	mclust
324	1	mclust
325	1	mclust
326	1	mclust
327	1	mclust
328	1	mclust
329	1	mclust
330	1	mclust
331	1	mclust
332	1	mclust
333	1	mclust
334	1	mclust
335	1	mclust
336	1	mclust
337	1	mclust
338	1	mclust
339	1	mclust
340	1	mclust
341	1	mclust
342	1	mclust
343	1	mclust
344	1	mclust
345	1	mclust
346	1	mclust
347	1	mclust
348	1	mclust
349	1	mclust
350	1	mclust
351	1	mclust
352	1	mclust
353	1	mclust
354	1	mclust
355	1	mclust
356	1	mclust
357	1	mclust
358	1	mclust
359	1	mclust
360	1	mclust
361	1	mclust
362	1	mclust
363	1	mclust
364	1	mclust
365	1	mclust
366	1	mclust
367	1	mclust
368	1	mclust
369	1	mclust
370	1	mclust
371	1	mclust
372	1	mclust
373	1	mclust
374	1	mclust
375	1	mclust
376	1	mclust
377	1	mclust
378	1	mclust
379	1	mclust
380	1	mclust
381	1	mclust
382	1	mclust
383	1	mclust
384	1	mclust
385	1	mclust
386	1	mclust
387	1	mclust
388	1	mclust
389	1	mclust
390	1	mclust
391	1	mclust
392	1	mclust
393	1	mclust
394	1	mclust
395	1	mclust
396	1	mclust
397	1	mclust
398	1	mclust
399	1	mclust
400	1	mclust
401	1	mclust
402	1	mclust
403	1	mclust
404	1	mclust
405	1	mclust
406	1	mclust
407	1	mclust
408	1	mclust
409	1	mclust
410	1	mclust
411	1	mclust
412	1	mclust
413	1	mclust
414	1	mclust
415	1	mclust
416	1	mclust
417	1	mclust
418	1	mclust
419	1	mclust
420	1	mclust
421	1	mclust
422	1	mclust
423	1	mclust
424	1	mclust
425	1	mclust
426	1	mclust
427	1	mclust
428	1	mclust
429	1	mclust
430	1	mclust
431	1	mclust
432	1	mclust
433	1	mclust
434	1	mclust
435	1	mclust
436	1	mclust
437	1	mclust
438	1	mclust
439	1	mclust
440	1	mclust
441	1	mclust
442	1	mclust
443	1	mclust
444	1	mclust
445	1	mclust
446	1	mclust
447	1	mclust
448	1	mclust
449	1	mclust
450	1	mclust
451	1	mclust
452	1	mclust
453	1	mclust
454	1	mclust
455	1	mclust
456	1	mclust
457	1	mclust
458	1	mclust
459	1	mclust
460	1	mclust
461	1	mclust
462	1	mclust
463	1	mclust
464	1	mclust
465	1	mclust
466	1	mclust
467	1	mclust
468	1	mclust
469	1	mclust
470	1	mclust
471	1	mclust
472	1	mclust
473	1	mclust
474	1	mclust
475	1	mclust
476	1	mclust
477	1	mclust
478	1	mclust
479	1	mclust
480	1	mclust
481	1	mclust
482	1	mclust
483	1	mclust
484	1	mclust
485	1	mclust
486	1	mclust
487	1	mclust
488	1	mclust
489	1	mclust
490	1	mclust
491	1	mclust
492	1	mclust
493	1	mclust
494	1	mclust
495	1	mclust
496	1	mclust
497	1	mclust
498	1	mclust
499	1	mclust
500	1	mclust
501	1	mclust
502	1	mclust
503	1	mclust
504	1	mclust
505	1	mclust
506	1	mclust
507	1	mclust
508	1	mclust
509	1	mclust
510	1	mclust
511	1	mclust
512	1	mclust
513	1	mclust
514	1	mclust
515	1	mclust
516	1	mclust
517	1	mclust
518	1	mclust
519	1	mclust
520	1	mclust
521	1	mclust
522	1	mclust
523	1	mclust
524	1	mclust
525	1	mclust
526	1	mclust
527	1	mclust
528	1	mclust
529	1	mclust
530	1	mclust
531	1	mclust
532	1	mclust
533	1	mclust
534	1	mclust
535	1	mclust
536	1	mclust
