sample	cluster_assigned	method
BS_014EVM2D	1	IntNMF
BS_02NZT8CE	1	IntNMF
BS_044XZ8ST	1	IntNMF
BS_063ERW0R	2	IntNMF
BS_06AMMCXR	1	IntNMF
BS_0D5VRAKC	2	IntNMF
BS_0J9SHHSC	1	IntNMF
BS_0JAKSXQP	3	IntNMF
BS_0SCXXM6N	1	IntNMF
BS_0T17SY47	3	IntNMF
BS_0WVJYM9R	3	IntNMF
BS_0WZKC4JH	2	IntNMF
BS_0X9EGHY2	1	IntNMF
BS_0Y5J2AQ4	2	IntNMF
BS_0Y66ZBWE	3	IntNMF
BS_130PVKA7	3	IntNMF
BS_13CGKADW	3	IntNMF
BS_166N7SZQ	2	IntNMF
BS_16KA9ZAW	2	IntNMF
BS_17WYVEEC	1	IntNMF
BS_1DECYC4K	2	IntNMF
BS_1G3WYEN3	3	IntNMF
BS_1HYS8CSC	2	IntNMF
BS_1JDG6JV5	2	IntNMF
BS_1KYGSMA7	1	IntNMF
BS_1N76FQZY	3	IntNMF
BS_1NPD7PVG	1	IntNMF
BS_1RXZ3BP7	1	IntNMF
BS_1VNMJHMN	2	IntNMF
BS_1Z9AX9JS	3	IntNMF
BS_1ZVXF5FE	1	IntNMF
BS_21RE8W46	1	IntNMF
BS_21XGYWWV	2	IntNMF
BS_23W9EPFE	1	IntNMF
BS_24AHZ9ZW	1	IntNMF
BS_258RRGDM	3	IntNMF
BS_25T139TX	1	IntNMF
BS_2720P44V	1	IntNMF
BS_27FYYPJG	3	IntNMF
BS_27QE6BV7	3	IntNMF
BS_29CPJ040	1	IntNMF
BS_29TRQXWM	2	IntNMF
BS_2ADZNNV4	1	IntNMF
BS_2AR3AP0N	3	IntNMF
BS_2E9VDD00	2	IntNMF
BS_2EMW8ZG3	1	IntNMF
BS_2JGY1SAM	2	IntNMF
BS_2KJ2YAZR	1	IntNMF
BS_2QCQYY6M	2	IntNMF
BS_2R9HK6YY	3	IntNMF
BS_2R9TCR03	1	IntNMF
BS_2WPQ8YCW	1	IntNMF
BS_2XM08BFY	2	IntNMF
BS_2YCJV2VV	1	IntNMF
BS_304SPN6B	2	IntNMF
BS_33AQSPRP	2	IntNMF
BS_3BVVWHP5	1	IntNMF
BS_3EVSN5QD	3	IntNMF
BS_3G3KWY18	1	IntNMF
BS_3GAN6Q43	2	IntNMF
BS_3H71BH6Q	1	IntNMF
BS_3P20Q2C3	3	IntNMF
BS_3PYESPHA	3	IntNMF
BS_3Q0GTSYH	1	IntNMF
BS_3TFMJH30	2	IntNMF
BS_3TJHY996	3	IntNMF
BS_3TQSE8HF	1	IntNMF
BS_3VJ0CA6A	2	IntNMF
BS_3W07B2TG	1	IntNMF
BS_3XY76V8T	1	IntNMF
BS_3Y2X2RBJ	2	IntNMF
BS_401R3KV0	1	IntNMF
BS_42DY6WS7	1	IntNMF
BS_42Y3YANN	1	IntNMF
BS_470DYRJQ	3	IntNMF
BS_474A88X1	2	IntNMF
BS_478TN841	1	IntNMF
BS_47SJZ3PH	1	IntNMF
BS_49852ZBH	1	IntNMF
BS_4A45GGSW	1	IntNMF
BS_4BWB0FA0	1	IntNMF
BS_4C4MZ4NT	1	IntNMF
BS_4CXE5XEP	2	IntNMF
BS_4EN8D8Y4	1	IntNMF
BS_4GTESTSE	3	IntNMF
BS_4HQ3T2NC	1	IntNMF
BS_4K2TNJ8R	1	IntNMF
BS_4N1GNHX4	3	IntNMF
BS_4NF35AF6	2	IntNMF
BS_4TZQY7TT	3	IntNMF
BS_4W1PKKYD	2	IntNMF
BS_4XH092HE	2	IntNMF
BS_4Y2JAQTS	3	IntNMF
BS_4Y6BCYK5	1	IntNMF
BS_4Y93HVP4	2	IntNMF
BS_4Z2F4P9N	1	IntNMF
BS_503DZ8BN	2	IntNMF
BS_52426AMF	1	IntNMF
BS_52DAPP1Y	1	IntNMF
BS_534XRSNB	2	IntNMF
BS_53GQKVEX	1	IntNMF
BS_54H90JW2	2	IntNMF
BS_55JW3HFM	1	IntNMF
BS_55P8HPYD	1	IntNMF
BS_55X1W2MR	2	IntNMF
BS_57NMZPS0	3	IntNMF
BS_593HEWBF	1	IntNMF
BS_5CMGN56B	1	IntNMF
BS_5J5D3QTD	2	IntNMF
BS_5JM573JC	1	IntNMF
BS_5K3R0F5D	3	IntNMF
BS_5NWDARXG	1	IntNMF
BS_5PV5N4HQ	1	IntNMF
BS_5YJEPPTP	1	IntNMF
BS_5YYCP891	2	IntNMF
BS_60DX1WQ5	2	IntNMF
BS_63F8QR26	2	IntNMF
BS_63JT39PX	2	IntNMF
BS_65ZBBMMZ	3	IntNMF
BS_66ABA973	1	IntNMF
BS_66HQ3E4Z	1	IntNMF
BS_680K119G	3	IntNMF
BS_68BW2163	3	IntNMF
BS_699TN5RN	2	IntNMF
BS_6HXD39AM	2	IntNMF
BS_6N3AFF66	1	IntNMF
BS_6NTXGQAC	1	IntNMF
BS_6P50QTPP	1	IntNMF
BS_6TSAVMT9	2	IntNMF
BS_6VF6VPCG	2	IntNMF
BS_6VW8FC7Z	2	IntNMF
BS_71GFQYV5	2	IntNMF
BS_769BDPDB	1	IntNMF
BS_76DRXZRJ	3	IntNMF
BS_775HDFNY	1	IntNMF
BS_77CDMEY4	1	IntNMF
BS_7ARDVFCP	3	IntNMF
BS_7H4RFCW9	1	IntNMF
BS_7M3FNSYK	2	IntNMF
BS_7MGXMG6S	1	IntNMF
BS_7N0B2CY1	3	IntNMF
BS_7P83Z28P	2	IntNMF
BS_7XRN3CFX	1	IntNMF
BS_7Z93ZYMS	1	IntNMF
BS_880ESDFZ	3	IntNMF
BS_8BF616QR	2	IntNMF
BS_8J3B6ZB6	1	IntNMF
BS_8PE0ZBXN	3	IntNMF
BS_8Q4JWFKK	3	IntNMF
BS_8Q7Z32DD	2	IntNMF
BS_8QJ43WKW	2	IntNMF
BS_8RCR7Y4B	3	IntNMF
BS_8SKZ7BRN	2	IntNMF
BS_8TR7980G	3	IntNMF
BS_8VAZSJEN	1	IntNMF
BS_8Z3SCKB5	1	IntNMF
BS_912NX4Y0	3	IntNMF
BS_92HCM7BN	2	IntNMF
BS_9477AG24	3	IntNMF
BS_94MT16N2	1	IntNMF
BS_9755PSCS	3	IntNMF
BS_97GBG8T6	2	IntNMF
BS_9BJARSX3	1	IntNMF
BS_9DFBHHB5	1	IntNMF
BS_9DZ253JY	3	IntNMF
BS_9F09XV62	3	IntNMF
BS_9H7A00PV	3	IntNMF
BS_9HSGV9TJ	2	IntNMF
BS_9JBX2E8G	3	IntNMF
BS_9P9MB8X8	2	IntNMF
BS_9Q6Z6VJC	1	IntNMF
BS_9RT63JD9	3	IntNMF
BS_9S7AG4EN	3	IntNMF
BS_9SJWWYQ4	1	IntNMF
BS_9YXH2CZ0	2	IntNMF
BS_A13BMEF5	1	IntNMF
BS_A1V3BH0Z	3	IntNMF
BS_A1VEGWTR	1	IntNMF
BS_A46RDWGM	1	IntNMF
BS_A76PNWQS	1	IntNMF
BS_A7W82CVE	2	IntNMF
BS_A96FKXN5	2	IntNMF
BS_AD4JPN9Q	3	IntNMF
BS_AG3D3435	3	IntNMF
BS_AKRHBPNZ	3	IntNMF
BS_AKT8HK8J	3	IntNMF
BS_AM0BZ61K	3	IntNMF
BS_AP0SZ364	1	IntNMF
BS_ARBQDTT5	1	IntNMF
BS_ATHSTZ5R	3	IntNMF
BS_AV9PD1CR	2	IntNMF
BS_AVYNZHSB	3	IntNMF
BS_AW7J9F9R	2	IntNMF
BS_B0SVFK4P	1	IntNMF
BS_B1J776DQ	3	IntNMF
BS_B1SF3H8Z	3	IntNMF
BS_B2QMR6Z9	3	IntNMF
BS_B3M5SGPA	1	IntNMF
BS_B5JM6T8K	2	IntNMF
BS_B6JKQFKA	2	IntNMF
BS_B6M763JS	3	IntNMF
BS_B7GEH89C	1	IntNMF
BS_B7X8VXQ3	3	IntNMF
BS_BAG042V5	3	IntNMF
BS_BANCTAV6	3	IntNMF
BS_BC936YNZ	1	IntNMF
BS_BGRPWBNG	2	IntNMF
BS_BJBM0BN7	2	IntNMF
BS_BKQZ550R	1	IntNMF
BS_BN986DF6	1	IntNMF
BS_BNECCX4D	2	IntNMF
BS_BPM1MRGT	3	IntNMF
BS_BPSTSCBJ	1	IntNMF
BS_BT9KZP0N	2	IntNMF
BS_BW79W2PD	1	IntNMF
BS_BZCTXEPJ	2	IntNMF
BS_C0NEVC2B	2	IntNMF
BS_C51RB0YR	1	IntNMF
BS_C6SKJG3N	1	IntNMF
BS_C7A2TYAC	2	IntNMF
BS_C8KEG501	3	IntNMF
BS_CB6VK7PB	2	IntNMF
BS_CC6RREE4	3	IntNMF
BS_CGB2WS2A	3	IntNMF
BS_CH8Q6FCN	3	IntNMF
BS_CKX8RW1J	2	IntNMF
BS_CM14SRVX	3	IntNMF
