Kids_First_Biospecimen_ID_RNA	sample_id	composition	cluster_assigned	Kids_First_Biospecimen_ID_DNA	tmb
BS_YB2RXRHT	7316-3074	Solid Tissue	1	BS_E9M7TDB6	0.13894801512899335
BS_YBGXGEM3	7316-5306	Solid Tissue	2	BS_QCPQVQ94	0.1945272211805907
BS_YBGZ4BRP	7316-6385	Solid Tissue	3	BS_MW6GD645	0.25010642723218807
BS_YCREDZTJ	7316-2075	Solid Tissue	1	BS_SD28E0SC	0.33347523630958403
BS_YEQVW4ND	7316-2135	Solid Tissue	3	BS_B6K0N6HS	0.3056856332837854
BS_YG0A13JH	7316-2897	Solid Tissue	1	BS_8TFBNHT0	0.9726361059029536
BS_YH817HDT	7316-7521	Solid Tissue	3	BS_G8K76H0G	0.16673761815479202
BS_YMAJC22S	7316-2753	Solid Tissue	3	BS_WDTT7PG2	0.3056856332837854
BS_YT4E515V	7316-5889	Solid Tissue	3	BS_J47SXWH0	0.13894801512899335
BS_YVEEXAAT	7316-6663	Solid Tissue	2	BS_712XDVET	0.22231682420638935
BS_YVMEEBKC	7316-3055	Solid Tissue	1	BS_GCQEB05M	0.05557920605159734
BS_YWJKHMXV	7316-7068	Solid Tissue	3	BS_VDMRCJV1	0.13894801512899335
BS_YY5B2XDD	7316-460	Solid Tissue	1	BS_F1B71HTZ	0.08336880907739601
BS_YZ2Z1Q6Y	7316-3068	Solid Tissue	1	BS_KH0NFCWF	0.1945272211805907
BS_Z0AVVB1V	7316-146	Solid Tissue	1	BS_JJZPY3BG	0.05557920605159734
BS_Z0E26P1R	7316-4268	Solid Tissue	2	BS_6RZMWSV7	0.13894801512899335
BS_Z5ATH1YR	7316-4520	Solid Tissue	1	BS_F5YC39C8	0.13894801512899335
BS_Z6BWR941	7316-1683	Solid Tissue	1	BS_XVBX7ZK1	0.2778960302579867
BS_Z7Y2466H	7316-1226	Solid Tissue	1	BS_VQC2PE2B	0.25010642723218807
BS_ZHRGDRBW	7316-9447	Solid Tissue	3	BS_30230R49	0.02778960302579867
BS_ZJY7Y34M	7316-8833	Solid Tissue	3	BS_XCRTG7JN	0.05557920605159734
BS_ZRF3A49T	7316-3508	Solid Tissue	2	BS_0SYB7ZZ0	0.05557920605159734
BS_ZRM0W01M	7316-470	Solid Tissue	3	BS_9E6Q11G2	0.05557920605159734
BS_ZTWGFWTX	7316-3054	Solid Tissue	1	BS_K3YT05M7	0.3056856332837854
BS_ZV9Z3SY6	7316-1794	Solid Tissue	1	BS_X9PJ715R	0.11115841210319467
BS_ZVX2GRD6	7316-9	Solid Tissue	2	BS_PEDGRK8S	0.3612648393353827
BS_ZVZDDW2G	7316-2664	Solid Tissue	1	BS_C1RRDNF5	0.4446336484127787
BS_ZZMYDZJW	7316-436	Solid Tissue	1	BS_50XV7CTQ	0.05557920605159734
BS_ZZWMD6FA	7316-2901	Solid Tissue	1	BS_XW26N96W	0.1945272211805907
