cluster_assigned	min_value	max_value	lower_whisker	upper_whisker	median_value	lower_quartile_q1	upper_quartile_q3
1	0.02741047976864805	4.305610460142811	-0.27744843558984034	0.87364470875458	0.2667282922954124	0.15421149353931726	0.4419847796254223
2	0.02741047976864805	1.4666644835940832	-0.07482983188401421	0.47166316680306836	0.20074809409020952	0.13010504262364175	0.2667282922954124
3	0.02741047976864805	1.9890024632173493	-0.10642013447238502	0.5243136711170198	0.17775047628973537	0.13010504262364175	0.28778849402099294
