sample	cluster_assigned	method
BS_014EVM2D	1	km_euclidean_2
BS_02NZT8CE	1	km_euclidean_2
BS_044XZ8ST	1	km_euclidean_2
BS_063ERW0R	1	km_euclidean_2
BS_06AMMCXR	1	km_euclidean_2
BS_0D5VRAKC	2	km_euclidean_2
BS_0J9SHHSC	1	km_euclidean_2
BS_0JAKSXQP	2	km_euclidean_2
BS_0SCXXM6N	1	km_euclidean_2
BS_0T17SY47	2	km_euclidean_2
BS_0WVJYM9R	2	km_euclidean_2
BS_0WZKC4JH	2	km_euclidean_2
BS_0X9EGHY2	1	km_euclidean_2
BS_0Y5J2AQ4	2	km_euclidean_2
BS_0Y66ZBWE	1	km_euclidean_2
BS_130PVKA7	2	km_euclidean_2
BS_13CGKADW	1	km_euclidean_2
BS_166N7SZQ	2	km_euclidean_2
BS_16KA9ZAW	2	km_euclidean_2
BS_17WYVEEC	1	km_euclidean_2
BS_1DECYC4K	2	km_euclidean_2
BS_1G3WYEN3	1	km_euclidean_2
BS_1HYS8CSC	2	km_euclidean_2
BS_1JDG6JV5	1	km_euclidean_2
BS_1KYGSMA7	1	km_euclidean_2
BS_1N76FQZY	2	km_euclidean_2
BS_1NPD7PVG	1	km_euclidean_2
BS_1RXZ3BP7	1	km_euclidean_2
BS_1VNMJHMN	2	km_euclidean_2
BS_1Z9AX9JS	2	km_euclidean_2
BS_1ZVXF5FE	1	km_euclidean_2
BS_21RE8W46	1	km_euclidean_2
BS_21XGYWWV	2	km_euclidean_2
BS_23W9EPFE	1	km_euclidean_2
BS_24AHZ9ZW	1	km_euclidean_2
BS_258RRGDM	2	km_euclidean_2
BS_25T139TX	1	km_euclidean_2
BS_2720P44V	1	km_euclidean_2
BS_27FYYPJG	2	km_euclidean_2
BS_27QE6BV7	1	km_euclidean_2
BS_29CPJ040	1	km_euclidean_2
BS_29TRQXWM	2	km_euclidean_2
BS_2ADZNNV4	1	km_euclidean_2
BS_2AR3AP0N	1	km_euclidean_2
BS_2E9VDD00	2	km_euclidean_2
BS_2EMW8ZG3	1	km_euclidean_2
BS_2JGY1SAM	2	km_euclidean_2
BS_2KJ2YAZR	1	km_euclidean_2
BS_2QCQYY6M	2	km_euclidean_2
BS_2R9HK6YY	2	km_euclidean_2
BS_2R9TCR03	1	km_euclidean_2
BS_2WPQ8YCW	1	km_euclidean_2
BS_2XM08BFY	2	km_euclidean_2
BS_2YCJV2VV	1	km_euclidean_2
BS_304SPN6B	2	km_euclidean_2
BS_33AQSPRP	2	km_euclidean_2
BS_3BVVWHP5	1	km_euclidean_2
BS_3EVSN5QD	2	km_euclidean_2
BS_3G3KWY18	1	km_euclidean_2
BS_3GAN6Q43	2	km_euclidean_2
BS_3H71BH6Q	1	km_euclidean_2
BS_3P20Q2C3	1	km_euclidean_2
BS_3PYESPHA	1	km_euclidean_2
BS_3Q0GTSYH	1	km_euclidean_2
