algorithm	distance	feature_selection	k	stretch	delta_auc	p_val	cox_anova_pval	cox_anova_chisq	cluster.size	noisen	diameter	average.distance	median.distance	average.between	average.within	within.cluster.ss	clus.avg.silwidths	avg_sil	dunn	dunn2	entropy	wb.ratio	cluster_size_min	cluster_size_max	all_equal
km	euclidean	var_100	2	43	0.5	1.98e-02	0.15	2.08	299, 237	0	1.12, 0.79	0.32, 0.19	0.26, 0.15	0.42	0.26	27.63	0.22, 0.55	0.38	0.01	1.34	0.69	0.61	TRUE	FALSE	7.41e-03
km	euclidean	var_100	3	11	0.25	0e+00	0.83	0.05	270, 163, 103	0	1.04, 0.75, 0.49	0.28, 0.12, 0.13	0.23, 0.1, 0.11	0.42	0.2	18.22	0.17, 0.57, 0.56	0.43	0.01	1.13	1.02	0.49	TRUE	FALSE	4.02e-18
km	euclidean	var_100	4	4	0.14	1.46e-13	0.31	1.05	209, 98, 162, 67	0	0.83, 1, 0.68, 0.36	0.19, 0.29, 0.12, 0.09	0.17, 0.27, 0.1, 0.07	0.41	0.17	12.6	0.44, -0.23, 0.51, 0.61	0.33	0.01	0.92	1.3	0.42	TRUE	TRUE	1.34e-19
km	euclidean	var_100	5	1	0.06	6.3e-03	0.09	2.81	211, 89, 136, 69, 31	0	0.83, 0.99, 0.49, 0.36, 0.66	0.19, 0.27, 0.09, 0.1, 0.17	0.17, 0.25, 0.08, 0.08, 0.14	0.41	0.17	11.38	0.38, -0.18, 0.49, 0.56, 0.07	0.26	0.01	0.79	1.44	0.41	FALSE	TRUE	1.16e-37
km	euclidean	var_100	6	1	0.04	7.87e-04	0.07	3.28	46, 172, 89, 137, 61, 31	0	0.66, 0.69, 0.99, 0.49, 0.36, 0.52	0.16, 0.17, 0.27, 0.09, 0.08, 0.15	0.14, 0.15, 0.25, 0.08, 0.07, 0.14	0.4	0.16	9.91	0.3, 0.27, -0.21, 0.44, 0.65, 0.1	0.26	0.01	0.71	1.63	0.39	FALSE	TRUE	7.19e-35
km	euclidean	var_100	7	1	0.03	5.41e-02	0.11	2.49	40, 36, 144, 86, 140, 60, 30	0	0.57, 0.52, 0.65, 0.99, 0.49, 0.36, 0.38	0.14, 0.15, 0.16, 0.27, 0.1, 0.08, 0.14	0.12, 0.13, 0.14, 0.25, 0.08, 0.07, 0.13	0.39	0.15	8.83	0.4, 0.24, 0.17, -0.21, 0.4, 0.65, 0.14	0.26	0.01	0.68	1.78	0.37	FALSE	TRUE	4.9e-37
km	euclidean	var_100	8	1	0.02	2.11e-01	0.24	1.36	40, 36, 144, 62, 139, 53, 31, 31	0	0.57, 0.52, 0.65, 0.99, 0.49, 0.21, 0.33, 0.38	0.14, 0.15, 0.16, 0.29, 0.1, 0.06, 0.11, 0.14	0.12, 0.13, 0.14, 0.27, 0.08, 0.06, 0.09, 0.13	0.39	0.14	8.1	0.39, 0.24, 0.17, -0.27, 0.37, 0.53, 0.25, 0.13	0.23	0.01	0.52	1.89	0.36	FALSE	TRUE	1.1e-46
km	euclidean	var_100	9	1	0.02	1.55e-01	0.3	1.08	41, 36, 143, 61, 137, 53, 32, 30, 3	0	0.57, 0.52, 0.65, 0.99, 0.49, 0.21, 0.33, 0.38, 0.09	0.13, 0.15, 0.16, 0.29, 0.09, 0.06, 0.1, 0.14, 0.07	0.12, 0.13, 0.14, 0.27, 0.08, 0.06, 0.09, 0.13, 0.07	0.39	0.14	8.07	0.37, 0.24, 0.17, -0.29, 0.15, 0.31, 0.24, -0.03, 0.39	0.17	0.01	0.4	1.91	0.36	FALSE	TRUE	3.2e-63
km	euclidean	var_100	10	1	0.02	4.68e-01	0.11	2.61	40, 36, 140, 64, 41, 53, 32, 34, 75, 21	0	0.57, 0.52, 0.56, 1, 0.19, 0.21, 0.33, 0.35, 0.38, 0.38	0.14, 0.15, 0.15, 0.31, 0.06, 0.06, 0.1, 0.08, 0.08, 0.15	0.12, 0.13, 0.14, 0.28, 0.06, 0.06, 0.09, 0.06, 0.06, 0.14	0.38	0.13	7.91	0.38, 0.21, 0.18, -0.31, 0.31, 0.37, 0.25, 0.27, 0.12, -0.13	0.16	0.01	0.32	2.15	0.36	FALSE	TRUE	9.9e-38
